ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
16,93891fb5-5060-4c90-887a-579871996c9c,2/12/2023 6:12:52 AM,hkggatut106,2/12/2023 6:12:52 AM,hkggatut106,correct,YTH 001,0,0
17,16d00117-630f-44c2-8ad5-701b3350d2a8,2/12/2023 6:18:50 AM,hkggatut122,2/12/2023 6:18:50 AM,hkggatut122,correct,YTH 017S,0,0
18,4fba4a63-7ea5-4166-85e4-1e16d5b51244,2/12/2023 6:19:07 AM,hkggatut122,2/12/2023 6:19:07 AM,hkggatut122,correct,YTH 017S,0,0
19,290a2998-c34f-46b6-89e0-c20731e93836,2/12/2023 6:20:49 AM,hkggatut119,2/12/2023 6:20:49 AM,hkggatut119,correct,YTH 014S,0,0
20,7d1be8a5-35d0-45f0-8d99-07011a521091,2/12/2023 6:21:36 AM,hkggatut114,2/12/2023 6:21:36 AM,hkggatut114,correct,YTH 009S,0,0
21,ffa69fe3-2eeb-4dd0-813b-9d2afa755802,2/12/2023 6:22:50 AM,hkggatut115,2/12/2023 6:22:50 AM,hkggatut115,correct,YTH 010S,0,0
22,5ddd810e-3168-4655-8762-2b17623b5d68,2/12/2023 6:24:42 AM,hkggatut114,2/12/2023 6:24:42 AM,hkggatut114,correct,YTH 009S,0,0
23,af4019f8-ae22-4869-8e95-fcdf758bcd6a,2/12/2023 6:41:39 AM,hkggatut138,2/12/2023 6:41:39 AM,hkggatut138,correct,YTH 007S,0,0
24,5e5d8fb8-0114-483b-8174-34a5a4707d6e,2/12/2023 6:47:07 AM,hkggatut120,2/12/2023 6:47:07 AM,hkggatut120,correct,YTH 015S,0,0
25,1b9dc9b6-5c7b-4488-8375-fe3b01950c17,2/12/2023 6:59:18 AM,hkggatut140,2/12/2023 6:59:18 AM,hkggatut140,correct,TEST 001,0,0
26,6fe1539f-acf3-45ed-83fe-b4a103e8e279,2/12/2023 7:06:26 AM,hkggatut124,2/12/2023 7:06:26 AM,hkggatut124,correct,YTH 019S,0,0
27,9ff9ce4c-8bae-4272-8210-e0cf37792b9e,2/12/2023 7:42:03 AM,hkggatut127,2/12/2023 7:42:03 AM,hkggatut127,correct,YTH 022,0,0
