ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
15,31d0969b-c243-4673-8c4f-b176a20f492e,2/12/2023 6:03:40 AM,hkggatut106,2/12/2023 6:03:40 AM,hkggatut106,correct,YTH 001,0,0
16,321e9ca0-2701-432c-8f81-d8539a6fbb06,2/12/2023 6:04:31 AM,hkggatut122,2/12/2023 6:04:31 AM,hkggatut122,correct,YTH 017S,0,0
17,c2e53d9b-6777-4809-8350-e243089287c1,2/12/2023 6:07:56 AM,hkggatut118,2/12/2023 6:07:56 AM,hkggatut118,correct,YTH 013S,0,0
18,38362671-ea4a-4e6d-8cf4-231039ff114a,2/12/2023 6:10:57 AM,hkggatut115,2/12/2023 6:10:57 AM,hkggatut115,correct,YTH 010S,0,0
19,0760cec4-aefa-4db5-8617-039fde9cb82c,2/12/2023 6:11:22 AM,hkggatut114,2/12/2023 6:11:22 AM,hkggatut114,correct,YTH 009S,0,0
20,12cf719c-b210-4a90-8dd5-d2fa269d9492,2/12/2023 6:11:57 AM,hkggatut119,2/12/2023 6:11:57 AM,hkggatut119,correct,YTH 014S,0,0
21,e9eb8ca7-8108-43d0-8477-500ddb7f23c6,2/12/2023 6:12:42 AM,hkggatut114,2/12/2023 6:12:42 AM,hkggatut114,correct,YTH 009S,0,0
22,746e540e-bb05-48a4-86fa-02339787f9f4,2/12/2023 6:13:09 AM,hkggatut121,2/12/2023 6:13:09 AM,hkggatut121,correct,YTH 016S,0,0
23,be497fba-f8cf-46a1-8f79-3933751e3aa5,2/12/2023 6:21:37 AM,hkggatut138,2/12/2023 6:21:37 AM,hkggatut138,correct,YTH 007S,0,0
24,6fa1734b-b499-4d71-81f1-db65807aef33,2/12/2023 6:40:12 AM,hkggatut120,2/12/2023 6:40:12 AM,hkggatut120,correct,YTH 015S,0,0
25,3af53f9a-fc2c-4023-83d4-26dff60563c8,2/12/2023 6:41:28 AM,hkggatut136,2/12/2023 6:41:28 AM,hkggatut136,correct,YTH 005,0,0
26,cbe9dc89-47f1-4638-8bd0-b2ef0ef4d165,2/12/2023 6:42:22 AM,hkggatut137,2/12/2023 6:42:22 AM,hkggatut137,correct,YTH 006,0,0
27,50afa9d6-2537-4735-85e7-3a00ca9aef34,2/12/2023 7:00:18 AM,hkggatut124,2/12/2023 7:00:18 AM,hkggatut124,correct,YTH 019S,0,0
28,82bbc216-f2b9-4446-8a5a-1d0f7e066728,2/12/2023 7:00:54 AM,hkggatut140,2/12/2023 7:00:54 AM,hkggatut140,correct,TEST 001,0,0
29,fd7a6c0e-9e13-4c3e-8516-43f1af9429ee,2/12/2023 7:37:04 AM,hkggatut127,2/12/2023 7:37:04 AM,hkggatut127,correct,YTH 022,0,0
30,ef17d293-9691-4efb-802f-177266f313f3,2/12/2023 7:40:51 AM,hkggatut108,2/12/2023 7:40:51 AM,hkggatut108,correct,YTH 003,0,0
31,c0fd861a-fc49-4c2a-895c-774bf5fd3921,2/12/2023 7:45:04 AM,hkggatut114,2/12/2023 7:45:04 AM,hkggatut114,correct,YTH 009S,0,0
